Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,TrialArtifact,ExpTransformerIsSyntaxFree,Trial
10529:10576-Analysis-Locked,10576,104-To Do App-Generation-2,10529,104-To Do App-Generation-1,10529,6.000,5.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10576-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10529:10610-Analysis-Locked,10610,104-To Do App-Generation-3,10576,104-To Do App-Generation-2,10529,4.000,6.000,2.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10610-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10529:10640-Analysis-Locked,10640,104-To Do App-Generation-4,10610,104-To Do App-Generation-3,10529,5.000,4.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10640-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10530:10530-Analysis-Locked,10530,104-To Do App-Generation-1,,,10530,2.000,,2.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10530-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10530:10560-Analysis-Locked,10560,104-To Do App-Generation-2,10530,104-To Do App-Generation-1,10530,0.000,2.000,2.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10560-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10530:10614-Analysis-Locked,10614,104-To Do App-Generation-3,10560,104-To Do App-Generation-2,10530,1.000,0.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10614-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10530:10658-Analysis-Locked,10658,104-To Do App-Generation-4,10614,104-To Do App-Generation-3,10530,0.000,1.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10658-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10531:10531-Analysis-Locked,10531,104-To Do App-Generation-1,,,10531,4.000,,4.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10531-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10531:10577-Analysis-Locked,10577,104-To Do App-Generation-2,10531,104-To Do App-Generation-1,10531,2.000,4.000,2.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10577-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10531:10617-Analysis-Locked,10617,104-To Do App-Generation-3,10577,104-To Do App-Generation-2,10531,5.000,2.000,3.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10617-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10531:10646-Analysis-Locked,10646,104-To Do App-Generation-4,10617,104-To Do App-Generation-3,10531,5.000,5.000,0.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10646-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10532:10532-Analysis-Locked,10532,104-To Do App-Generation-1,,,10532,0.000,,0.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10532-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10532:10575-Analysis-Locked,10575,104-To Do App-Generation-2,10532,104-To Do App-Generation-1,10532,0.000,0.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10575-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10532:10607-Analysis-Locked,10607,104-To Do App-Generation-3,10575,104-To Do App-Generation-2,10532,0.000,0.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10607-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10532:10650-Analysis-Locked,10650,104-To Do App-Generation-4,10607,104-To Do App-Generation-3,10532,0.000,0.000,0.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10650-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10533:10533-Analysis-Locked,10533,104-To Do App-Generation-1,,,10533,5.000,,5.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10533-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10533:10567-Analysis-Locked,10567,104-To Do App-Generation-2,10533,104-To Do App-Generation-1,10533,6.000,5.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10567-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10533:10613-Analysis-Locked,10613,104-To Do App-Generation-3,10567,104-To Do App-Generation-2,10533,6.000,6.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10613-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10533:10657-Analysis-Locked,10657,104-To Do App-Generation-4,10613,104-To Do App-Generation-3,10533,7.000,6.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10657-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10534:10534-Analysis-Locked,10534,104-To Do App-Generation-1,,,10534,3.000,,3.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10534-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10534:10573-Analysis-Locked,10573,104-To Do App-Generation-2,10534,104-To Do App-Generation-1,10534,4.000,3.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10573-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10534:10604-Analysis-Locked,10604,104-To Do App-Generation-3,10573,104-To Do App-Generation-2,10534,5.000,4.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10604-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10535:10535-Analysis-Locked,10535,104-To Do App-Generation-1,,,10535,0.000,,0.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10535-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10535:10566-Analysis-Locked,10566,104-To Do App-Generation-2,10535,104-To Do App-Generation-1,10535,0.000,0.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10566-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10535:10603-Analysis-Locked,10603,104-To Do App-Generation-3,10566,104-To Do App-Generation-2,10535,0.000,0.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10603-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10535:10655-Analysis-Locked,10655,104-To Do App-Generation-4,10603,104-To Do App-Generation-3,10535,0.000,0.000,0.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10655-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10536:10536-Analysis-Locked,10536,104-To Do App-Generation-1,,,10536,4.000,,4.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10536-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10536:10570-Analysis-Locked,10570,104-To Do App-Generation-2,10536,104-To Do App-Generation-1,10536,4.000,4.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10570-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10536:10608-Analysis-Locked,10608,104-To Do App-Generation-3,10570,104-To Do App-Generation-2,10536,5.000,4.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10608-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10536:10645-Analysis-Locked,10645,104-To Do App-Generation-4,10608,104-To Do App-Generation-3,10536,4.000,5.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10645-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10537:10537-Analysis-Locked,10537,104-To Do App-Generation-1,,,10537,1.000,,1.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10537-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10537:10565-Analysis-Locked,10565,104-To Do App-Generation-2,10537,104-To Do App-Generation-1,10537,0.000,1.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10565-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10537:10612-Analysis-Locked,10612,104-To Do App-Generation-3,10565,104-To Do App-Generation-2,10537,0.000,0.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10612-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10537:10647-Analysis-Locked,10647,104-To Do App-Generation-4,10612,104-To Do App-Generation-3,10537,5.000,0.000,5.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10647-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10538:10538-Analysis-Locked,10538,104-To Do App-Generation-1,,,10538,5.000,,5.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10538-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10538:10559-Analysis-Locked,10559,104-To Do App-Generation-2,10538,104-To Do App-Generation-1,10538,4.000,5.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10559-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10538:10599-Analysis-Locked,10599,104-To Do App-Generation-3,10559,104-To Do App-Generation-2,10538,5.000,4.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10599-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10538:10644-Analysis-Locked,10644,104-To Do App-Generation-4,10599,104-To Do App-Generation-3,10538,3.000,5.000,2.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10644-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10779:10779-Analysis-Locked,10779,104-To Do App-Generation-1,,,10779,7.000,,7.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-03-10779-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10779:10791-Analysis-Locked,10791,104-To Do App-Generation-2,10779,104-To Do App-Generation-1,10779,5.000,7.000,2.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-03-10791-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10779:10800-Analysis-Locked,10800,104-To Do App-Generation-3,10791,104-To Do App-Generation-2,10779,7.000,5.000,2.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-03-10800-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10779:10812-Analysis-Locked,10812,104-To Do App-Generation-4,10800,104-To Do App-Generation-3,10779,9.000,7.000,2.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-03-10812-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10779:10822-Analysis-Locked,10822,104-To Do App-Generation-5,10812,104-To Do App-Generation-4,10779,1.000,9.000,8.000,1038-LOCKED-104-To Do App-Generation-5--5029-LOCKED-Please write this in-2024-08-03-10822-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10779:10830-Analysis-Locked,10830,104-To Do App-Generation-6,10822,104-To Do App-Generation-5,10779,1.000,1.000,0.000,1039-LOCKED-104-To Do App-Generation-6--5030-LOCKED-Infer as much detail-2024-08-03-10830-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10780:10780-Analysis-Locked,10780,104-To Do App-Generation-1,,,10780,0.000,,0.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-03-10780-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10780:10793-Analysis-Locked,10793,104-To Do App-Generation-2,10780,104-To Do App-Generation-1,10780,0.000,0.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-03-10793-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10780:10802-Analysis-Locked,10802,104-To Do App-Generation-3,10793,104-To Do App-Generation-2,10780,0.000,0.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-03-10802-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10780:10809-Analysis-Locked,10809,104-To Do App-Generation-4,10802,104-To Do App-Generation-3,10780,0.000,0.000,0.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-03-10809-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10780:10821-Analysis-Locked,10821,104-To Do App-Generation-5,10809,104-To Do App-Generation-4,10780,2.000,0.000,2.000,1038-LOCKED-104-To Do App-Generation-5--5029-LOCKED-Please write this in-2024-08-03-10821-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10780:10829-Analysis-Locked,10829,104-To Do App-Generation-6,10821,104-To Do App-Generation-5,10780,3.000,2.000,1.000,1039-LOCKED-104-To Do App-Generation-6--5030-LOCKED-Infer as much detail-2024-08-03-10829-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10781:10781-Analysis-Locked,10781,104-To Do App-Generation-1,,,10781,2.000,,2.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-03-10781-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10781:10792-Analysis-Locked,10792,104-To Do App-Generation-2,10781,104-To Do App-Generation-1,10781,3.000,2.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-03-10792-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10781:10801-Analysis-Locked,10801,104-To Do App-Generation-3,10792,104-To Do App-Generation-2,10781,2.000,3.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-03-10801-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10781:10813-Analysis-Locked,10813,104-To Do App-Generation-4,10801,104-To Do App-Generation-3,10781,3.000,2.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-03-10813-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10781:10820-Analysis-Locked,10820,104-To Do App-Generation-5,10813,104-To Do App-Generation-4,10781,0.000,3.000,3.000,1038-LOCKED-104-To Do App-Generation-5--5029-LOCKED-Please write this in-2024-08-03-10820-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10781:10832-Analysis-Locked,10832,104-To Do App-Generation-6,10820,104-To Do App-Generation-5,10781,2.000,0.000,2.000,1039-LOCKED-104-To Do App-Generation-6--5030-LOCKED-Infer as much detail-2024-08-03-10832-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10782:10782-Analysis-Locked,10782,104-To Do App-Generation-1,,,10782,0.000,,0.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-03-10782-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10782:10790-Analysis-Locked,10790,104-To Do App-Generation-2,10782,104-To Do App-Generation-1,10782,0.000,0.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-03-10790-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10782:10799-Analysis-Locked,10799,104-To Do App-Generation-3,10790,104-To Do App-Generation-2,10782,0.000,0.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-03-10799-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10782:10811-Analysis-Locked,10811,104-To Do App-Generation-4,10799,104-To Do App-Generation-3,10782,0.000,0.000,0.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-03-10811-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10782:10819-Analysis-Locked,10819,104-To Do App-Generation-5,10811,104-To Do App-Generation-4,10782,2.000,0.000,2.000,1038-LOCKED-104-To Do App-Generation-5--5029-LOCKED-Please write this in-2024-08-03-10819-Trial-509,0,104-To Do App-Trial-509-2024-08-03
10782:10833-Analysis-Locked,10833,104-To Do App-Generation-6,10819,104-To Do App-Generation-5,10782,1.000,2.000,1.000,1039-LOCKED-104-To Do App-Generation-6--5030-LOCKED-Infer as much detail-2024-08-03-10833-Trial-509,0,104-To Do App-Trial-509-2024-08-03
