Name,ConversationIdentifier,ExtractedAccuracyScore,IsPrimaryExtensionArtifactPhase2,CalculatedStatus,ExpTransformerIsSyntaxFree
TA14373-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10018-2024-08-08-14373-Describe this in Natural -Trial-,10018,4.000,,FREE-Locked,1 checked out of 1
TA14375-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10018-2024-08-08-14375-Describe this in Natural -Trial-,10018,5.000,,FREE-Locked,1 checked out of 1
TA10793-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10030-2024-08-08-10793-Describe this in Natural -Trial-,10030,5.000,,FREE-Locked,1 checked out of 1
TA10831-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10030-2024-08-08-10831-Describe this in Natural -Trial-,10030,5.000,,FREE-Locked,1 checked out of 1
TA10857-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10030-2024-08-08-10857-Describe this in Natural -Trial-,10030,5.000,,FREE-Locked,1 checked out of 1
TA11504-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10030-2024-08-08-11504-Describe this in Natural -Trial-,10030,4.000,,FREE-Locked,1 checked out of 1
TA14433-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10030-2024-08-08-14433-Describe this in Natural -Trial-,10030,4.000,,FREE-Locked,1 checked out of 1
TA10763-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10043-2024-08-08-10763-Describe this in Natural -Trial-,10043,5.000,,FREE-Locked,1 checked out of 1
TA11401-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10043-2024-08-08-11401-Describe this in Natural -Trial-,10043,4.000,,FREE-Locked,1 checked out of 1
TA11411-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10043-2024-08-08-11411-Describe this in Natural -Trial-,10043,4.000,,FREE-Locked,1 checked out of 1
TA10877-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10043-2024-08-08-10877-Describe this in Natural -Trial-,10043,5.000,,FREE-Locked,1 checked out of 1
TA14367-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10043-2024-08-08-14367-Describe this in Natural -Trial-,10043,4.000,,FREE-Locked,1 checked out of 1
TA10747-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10062-2024-08-08-10747-Describe this in Natural -Trial-,10062,5.000,,FREE-Locked,1 checked out of 1
TA11501-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10062-2024-08-08-11501-Describe this in Natural -Trial-,10062,4.000,,FREE-Locked,1 checked out of 1
TA14339-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10062-2024-08-08-14339-Describe this in Natural -Trial-,10062,5.000,,FREE-Locked,1 checked out of 1
TA14344-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10062-2024-08-08-14344-Describe this in Natural -Trial-,10062,4.000,,FREE-Locked,1 checked out of 1
TA14409-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10062-2024-08-08-14409-Describe this in Natural -Trial-,10062,4.000,,FREE-Locked,1 checked out of 1
TA11431-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10068-2024-08-08-11431-Describe this in Natural -Trial-,10068,4.000,,FREE-Locked,1 checked out of 1
TA11438-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10068-2024-08-08-11438-Describe this in Natural -Trial-,10068,4.000,,FREE-Locked,1 checked out of 1
TA10832-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10068-2024-08-08-10832-Describe this in Natural -Trial-,10068,5.000,,FREE-Locked,1 checked out of 1
TA11469-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10068-2024-08-08-11469-Describe this in Natural -Trial-,10068,4.000,,FREE-Locked,1 checked out of 1
TA11493-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10068-2024-08-08-11493-Describe this in Natural -Trial-,10068,4.000,,FREE-Locked,1 checked out of 1
TA10746-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10080-2024-08-08-10746-Describe this in Natural -Trial-,10080,5.000,,FREE-Locked,1 checked out of 1
TA10758-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10080-2024-08-08-10758-Describe this in Natural -Trial-,10080,5.000,,FREE-Locked,1 checked out of 1
TA11490-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10080-2024-08-08-11490-Describe this in Natural -Trial-,10080,4.000,,FREE-Locked,1 checked out of 1
TA14398-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10080-2024-08-08-14398-Describe this in Natural -Trial-,10080,5.000,,FREE-Locked,1 checked out of 1
TA14456-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10080-2024-08-08-14456-Describe this in Natural -Trial-,10080,5.000,,FREE-Locked,1 checked out of 1
TA11388-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10100-2024-08-08-11388-Describe this in Natural -Trial-,10100,4.000,,FREE-Locked,1 checked out of 1
TA10826-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10100-2024-08-08-10826-Describe this in Natural -Trial-,10100,5.000,,FREE-Locked,1 checked out of 1
TA14343-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10100-2024-08-08-14343-Describe this in Natural -Trial-,10100,5.000,,FREE-Locked,1 checked out of 1
TA14388-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10100-2024-08-08-14388-Describe this in Natural -Trial-,10100,5.000,,FREE-Locked,1 checked out of 1
TA14425-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10100-2024-08-08-14425-Describe this in Natural -Trial-,10100,4.000,,FREE-Locked,1 checked out of 1
TA11360-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10113-2024-08-08-11360-Describe this in Natural -Trial-,10113,4.000,,FREE-Locked,1 checked out of 1
TA11389-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10113-2024-08-08-11389-Describe this in Natural -Trial-,10113,4.000,,FREE-Locked,1 checked out of 1
TA10792-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10113-2024-08-08-10792-Describe this in Natural -Trial-,10113,5.000,,FREE-Locked,1 checked out of 1
TA11494-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10113-2024-08-08-11494-Describe this in Natural -Trial-,10113,4.000,,FREE-Locked,1 checked out of 1
TA14415-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10113-2024-08-08-14415-Describe this in Natural -Trial-,10113,5.000,,FREE-Locked,1 checked out of 1
TA10805-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10119-2024-08-08-10805-Describe this in Natural -Trial-,10119,5.000,,FREE-Locked,1 checked out of 1
TA10850-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10119-2024-08-08-10850-Describe this in Natural -Trial-,10119,5.000,,FREE-Locked,1 checked out of 1
TA10858-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10119-2024-08-08-10858-Describe this in Natural -Trial-,10119,5.000,,FREE-Locked,1 checked out of 1
TA10861-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10119-2024-08-08-10861-Describe this in Natural -Trial-,10119,5.000,,FREE-Locked,1 checked out of 1
TA10760-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10125-2024-08-08-10760-Describe this in Natural -Trial-,10125,5.000,,FREE-Locked,1 checked out of 1
TA10773-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10125-2024-08-08-10773-Describe this in Natural -Trial-,10125,5.000,,FREE-Locked,1 checked out of 1
TA11446-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10125-2024-08-08-11446-Describe this in Natural -Trial-,10125,4.000,,FREE-Locked,1 checked out of 1
TA10834-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10125-2024-08-08-10834-Describe this in Natural -Trial-,10125,5.000,,FREE-Locked,1 checked out of 1
TA14370-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10125-2024-08-08-14370-Describe this in Natural -Trial-,10125,5.000,,FREE-Locked,1 checked out of 1
TA10825-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10145-2024-08-08-10825-Describe this in Natural -Trial-,10145,5.000,,FREE-Locked,1 checked out of 1
TA11461-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10145-2024-08-08-11461-Describe this in Natural -Trial-,10145,4.000,,FREE-Locked,1 checked out of 1
TA14420-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10145-2024-08-08-14420-Describe this in Natural -Trial-,10145,4.000,,FREE-Locked,1 checked out of 1
TA14442-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10145-2024-08-08-14442-Describe this in Natural -Trial-,10145,5.000,,FREE-Locked,1 checked out of 1
TA14455-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10145-2024-08-08-14455-Describe this in Natural -Trial-,10145,5.000,,FREE-Locked,1 checked out of 1
TA11455-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10151-2024-08-08-11455-Describe this in Natural -Trial-,10151,4.000,,FREE-Locked,1 checked out of 1
TA10828-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10151-2024-08-08-10828-Describe this in Natural -Trial-,10151,5.000,,FREE-Locked,1 checked out of 1
TA10844-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10151-2024-08-08-10844-Describe this in Natural -Trial-,10151,5.000,,FREE-Locked,1 checked out of 1
TA10862-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10151-2024-08-08-10862-Describe this in Natural -Trial-,10151,5.000,,FREE-Locked,1 checked out of 1
TA10772-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10157-2024-08-08-10772-Describe this in Natural -Trial-,10157,5.000,,FREE-Locked,1 checked out of 1
TA11423-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10157-2024-08-08-11423-Describe this in Natural -Trial-,10157,4.000,,FREE-Locked,1 checked out of 1
TA10868-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10157-2024-08-08-10868-Describe this in Natural -Trial-,10157,5.000,,FREE-Locked,1 checked out of 1
TA14379-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10157-2024-08-08-14379-Describe this in Natural -Trial-,10157,4.000,,FREE-Locked,1 checked out of 1
TA14444-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10157-2024-08-08-14444-Describe this in Natural -Trial-,10157,4.000,,FREE-Locked,1 checked out of 1
TA10750-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10165-2024-08-08-10750-Describe this in Natural -Trial-,10165,5.000,,FREE-Locked,1 checked out of 1
TA10875-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10165-2024-08-08-10875-Describe this in Natural -Trial-,10165,5.000,,FREE-Locked,1 checked out of 1
TA14411-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10165-2024-08-08-14411-Describe this in Natural -Trial-,10165,5.000,,FREE-Locked,1 checked out of 1
TA14414-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10165-2024-08-08-14414-Describe this in Natural -Trial-,10165,5.000,,FREE-Locked,1 checked out of 1
TA14429-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10165-2024-08-08-14429-Describe this in Natural -Trial-,10165,4.000,,FREE-Locked,1 checked out of 1
TA10755-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10180-2024-08-08-10755-Describe this in Natural -Trial-,10180,5.000,,FREE-Locked,1 checked out of 1
TA10783-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10180-2024-08-08-10783-Describe this in Natural -Trial-,10180,5.000,,FREE-Locked,1 checked out of 1
TA10813-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10180-2024-08-08-10813-Describe this in Natural -Trial-,10180,5.000,,FREE-Locked,1 checked out of 1
TA14389-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10180-2024-08-08-14389-Describe this in Natural -Trial-,10180,4.000,,FREE-Locked,1 checked out of 1
TA14399-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10180-2024-08-08-14399-Describe this in Natural -Trial-,10180,4.000,,FREE-Locked,1 checked out of 1
TA10759-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10187-2024-08-08-10759-Describe this in Natural -Trial-,10187,5.000,,FREE-Locked,1 checked out of 1
TA11392-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10187-2024-08-08-11392-Describe this in Natural -Trial-,10187,4.000,,FREE-Locked,1 checked out of 1
TA10786-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10187-2024-08-08-10786-Describe this in Natural -Trial-,10187,5.000,,FREE-Locked,1 checked out of 1
TA10841-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10187-2024-08-08-10841-Describe this in Natural -Trial-,10187,5.000,,FREE-Locked,1 checked out of 1
TA14461-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10187-2024-08-08-14461-Describe this in Natural -Trial-,10187,5.000,,FREE-Locked,1 checked out of 1
TA10790-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10191-2024-08-08-10790-Describe this in Natural -Trial-,10191,5.000,,FREE-Locked,1 checked out of 1
TA11477-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10191-2024-08-08-11477-Describe this in Natural -Trial-,10191,4.000,,FREE-Locked,1 checked out of 1
TA11502-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10191-2024-08-08-11502-Describe this in Natural -Trial-,10191,4.000,,FREE-Locked,1 checked out of 1
TA14357-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10191-2024-08-08-14357-Describe this in Natural -Trial-,10191,4.000,,FREE-Locked,1 checked out of 1
TA14440-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10191-2024-08-08-14440-Describe this in Natural -Trial-,10191,4.000,,FREE-Locked,1 checked out of 1
TA11403-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10210-2024-08-08-11403-Describe this in Natural -Trial-,10210,4.000,,FREE-Locked,1 checked out of 1
TA11413-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10210-2024-08-08-11413-Describe this in Natural -Trial-,10210,4.000,,FREE-Locked,1 checked out of 1
TA11463-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10210-2024-08-08-11463-Describe this in Natural -Trial-,10210,4.000,,FREE-Locked,1 checked out of 1
TA10874-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10210-2024-08-08-10874-Describe this in Natural -Trial-,10210,5.000,,FREE-Locked,1 checked out of 1
TA14401-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10210-2024-08-08-14401-Describe this in Natural -Trial-,10210,4.000,,FREE-Locked,1 checked out of 1
TA10737-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10215-2024-08-08-10737-Describe this in Natural -Trial-,10215,5.000,,FREE-Locked,1 checked out of 1
TA10756-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10215-2024-08-08-10756-Describe this in Natural -Trial-,10215,5.000,,FREE-Locked,1 checked out of 1
TA10810-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10215-2024-08-08-10810-Describe this in Natural -Trial-,10215,5.000,,FREE-Locked,1 checked out of 1
TA14376-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10215-2024-08-08-14376-Describe this in Natural -Trial-,10215,4.000,,FREE-Locked,1 checked out of 1
TA14407-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10215-2024-08-08-14407-Describe this in Natural -Trial-,10215,4.000,,FREE-Locked,1 checked out of 1
TA10784-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10222-2024-08-08-10784-Describe this in Natural -Trial-,10222,5.000,,FREE-Locked,1 checked out of 1
TA11430-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10222-2024-08-08-11430-Describe this in Natural -Trial-,10222,4.000,,FREE-Locked,1 checked out of 1
TA10882-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10222-2024-08-08-10882-Describe this in Natural -Trial-,10222,5.000,,FREE-Locked,1 checked out of 1
TA14430-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10222-2024-08-08-14430-Describe this in Natural -Trial-,10222,5.000,,FREE-Locked,1 checked out of 1
TA14431-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10222-2024-08-08-14431-Describe this in Natural -Trial-,10222,5.000,,FREE-Locked,1 checked out of 1
TA11434-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10234-2024-08-08-11434-Describe this in Natural -Trial-,10234,4.000,,FREE-Locked,1 checked out of 1
TA11484-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10234-2024-08-08-11484-Describe this in Natural -Trial-,10234,4.000,,FREE-Locked,1 checked out of 1
TA11500-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10234-2024-08-08-11500-Describe this in Natural -Trial-,10234,4.000,,FREE-Locked,1 checked out of 1
TA14371-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10234-2024-08-08-14371-Describe this in Natural -Trial-,10234,5.000,,FREE-Locked,1 checked out of 1
TA14438-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10234-2024-08-08-14438-Describe this in Natural -Trial-,10234,5.000,,FREE-Locked,1 checked out of 1
TA11384-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10242-2024-08-08-11384-Describe this in Natural -Trial-,10242,4.000,,FREE-Locked,1 checked out of 1
TA10766-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10242-2024-08-08-10766-Describe this in Natural -Trial-,10242,5.000,,FREE-Locked,1 checked out of 1
TA11468-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10242-2024-08-08-11468-Describe this in Natural -Trial-,10242,4.000,,FREE-Locked,1 checked out of 1
TA14403-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10242-2024-08-08-14403-Describe this in Natural -Trial-,10242,4.000,,FREE-Locked,1 checked out of 1
TA14452-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10242-2024-08-08-14452-Describe this in Natural -Trial-,10242,4.000,,FREE-Locked,1 checked out of 1
TA11375-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10247-2024-08-08-11375-Describe this in Natural -Trial-,10247,4.000,,FREE-Locked,1 checked out of 1
TA10811-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10247-2024-08-08-10811-Describe this in Natural -Trial-,10247,5.000,,FREE-Locked,1 checked out of 1
TA11464-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10247-2024-08-08-11464-Describe this in Natural -Trial-,10247,4.000,,FREE-Locked,1 checked out of 1
TA10883-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10247-2024-08-08-10883-Describe this in Natural -Trial-,10247,5.000,,FREE-Locked,1 checked out of 1
TA14418-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10247-2024-08-08-14418-Describe this in Natural -Trial-,10247,5.000,,FREE-Locked,1 checked out of 1
TA11416-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10253-2024-08-08-11416-Describe this in Natural -Trial-,10253,4.000,,FREE-Locked,1 checked out of 1
TA11432-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10253-2024-08-08-11432-Describe this in Natural -Trial-,10253,4.000,,FREE-Locked,1 checked out of 1
TA14382-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10253-2024-08-08-14382-Describe this in Natural -Trial-,10253,5.000,,FREE-Locked,1 checked out of 1
TA14405-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10253-2024-08-08-14405-Describe this in Natural -Trial-,10253,4.000,,FREE-Locked,1 checked out of 1
TA14424-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10253-2024-08-08-14424-Describe this in Natural -Trial-,10253,5.000,,FREE-Locked,1 checked out of 1
TA11369-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10259-2024-08-08-11369-Describe this in Natural -Trial-,10259,4.000,,FREE-Locked,1 checked out of 1
TA10754-GT1213-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10259-2024-08-08-10754-Describe this in Natural -Trial-,10259,5.000,,FREE-Locked,1 checked out of 1
TA11382-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10259-2024-08-08-11382-Describe this in Natural -Trial-,10259,4.000,,FREE-Locked,1 checked out of 1
TA10808-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10259-2024-08-08-10808-Describe this in Natural -Trial-,10259,5.000,,FREE-Locked,1 checked out of 1
TA10818-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10259-2024-08-08-10818-Describe this in Natural -Trial-,10259,5.000,,FREE-Locked,1 checked out of 1
TA11450-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10266-2024-08-08-11450-Describe this in Natural -Trial-,10266,4.000,,FREE-Locked,1 checked out of 1
TA10839-GT1212-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10266-2024-08-08-10839-Describe this in Natural -Trial-,10266,5.000,,FREE-Locked,1 checked out of 1
TA14353-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10266-2024-08-08-14353-Describe this in Natural -Trial-,10266,4.000,,FREE-Locked,1 checked out of 1
